classification_code,classification_desc,fhrs_address,matched_address,matched_lat,matched_lng,uprn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Criterion  restaurant, 129 Peckham High Street, London, SE15 5SL","THE CRITERION, 129 PECKHAM HIGH STREET, LONDON, SE15 5SL",51.47417913,-0.067295362,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR07,Restaurant / Cafeteria,"Crossroads cafe, 190 Bellenden Road, London, SE15 4BW","CROSSROADS CAFE, 190 BELLENDEN ROAD, LONDON, SE15 4BW",51.46690878,-0.07304487,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Dual Use,"Crossways cafe, 93 Evelina Road, London, SE15 3HL","CROSSWAYS CAFE, 93 EVELINA ROAD, LONDON, SE15 3HL",51.46676037,-0.055342177,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO01,Office / Work Studio,"Cuisine africana, The Aylesham Centre, Rye Lane, London, SE15 5EW","TIGER MANAGEMENT, AYLESHAM CENTRE, RYE LANE, LONDON, SE15 5EW",51.47273616,-0.068681094,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD06,Self Contained Flat (Includes Maisonette / Apartment),"Cynthia a's cakes sugarcraft, Unit 10, 137 Rye Lane, London, SE15 4ST","FLAT 1, THALIA COURT, 137 RYE LANE, LONDON, SE15 4ST",51.46945584,-0.067710951,10013525740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Dans food, 97 Queens Road, London, SE15 2EZ","DANS FOOD, 97 QUEENS ROAD, LONDON, SE15 2EZ",51.47410125,-0.060401135,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Daphanies taste of the caribbean, 173 Peckham High Street, London, SE15 5SL","DAPHNES, 173 PECKHAM HIGH STREET, LONDON, SE15 5SL",51.47418161,-0.065264878,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Ddk jerk centre, 8 Blenheim Grove, London, SE15 4QL","PEACE UNISEX HAIR, 8 BLENHEIM GROVE, LONDON, SE15 4QL",51.46982694,-0.068947939,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD06,Self Contained Flat (Includes Maisonette / Apartment),"Delight cafe - uckg help centre, 178 Rye Lane, London, SE15 4NF","U C K G HELP CENTRE, 176 RYE LANE, LONDON, SE15 4NF",51.46746532,-0.066974377,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR04,Additional Mail / Packet Addressee,"Delta express pizza, 9 Peckham High Street, London, SE15 5EB","DELTA EXPRESS CHICKEN, 9 PECKHAM HIGH STREET, LONDON, SE15 5EB",51.47389502,-0.072980874,10091837436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Dennis butchers, 135 Peckham High Street, London, SE15 5SL","DENNIS BUTCHERS, 135 PECKHAM HIGH STREET, LONDON, SE15 5SL",51.47416611,-0.067051115,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC,Community Services,"Destiny kids nursery, Copleston Centre, Copleston Road, London, SE15 4AN","COPLESTON CENTRE, COPLESTON ROAD, LONDON, SE15 4AN",51.46582254,-0.076992274,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR04,Additional Mail / Packet Addressee,"Dixie chicken, 16 Peckham High Street, London, SE15 5DT","DIXIE FRIED CHICKEN, 16 PECKHAM HIGH STREET, LONDON, SE15 5DT",51.47326762,-0.072560927,10091837532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR04,Additional Mail / Packet Addressee,"East dulwich community nursery, 6 Whaddon House Dog Kennel H, Albrighton Road, London, SE22 8AQ","EAST DULWICH COMMUNITY NURSERY, 6 WHADDON HOUSE, EAST DULWICH ESTATE, LONDON, SE22 8AQ",51.46459285,-0.0809743,10091872820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC04,Public / Village Hall / Other Community Facility,"East dulwich estate community project & tenants as, Albrighton Community Centre, 37 Albrighton Road, London, SE22 8AH","ALBRIGHTON COMMUNITY CENTRE, 37 ALBRIGHTON ROAD, LONDON, SE22 8AH",51.46461219,-0.081606948,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Dual Use,"F c soper, 141 Evelina Road, London, SE15 3HB","F C SOPERS, 141 EVELINA ROAD, LONDON, SE15 3HB",51.46570475,-0.057301886,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Flock and herd, 155 Bellenden Road, London, SE15 4DH","FLOCK X HERD, 155 BELLENDEN ROAD, LONDON, SE15 4DH",51.46670399,-0.072621574,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Forza win ltd, Unit 4.1 Copeland Industrial P, 133 Copeland Road, London, SE15 3SN","BABOO (WHOLESALE MEATS) LTD, UNIT 8, INDUSTRIAL PARK, 133 COPELAND ROAD, LONDON, SE15 3SN",51.47000756,-0.065765147,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Four quarters, 187 Rye Lane, London, SE15 4TP","THE FOUR QUARTERS, 187 RYE LANE, LONDON, SE15 4TP",51.46806598,-0.066862602,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL07CI,Cinema,"Frank's cafe and campari bar, Level 10 Peckham Rye Car Park, 95A Rye Lane, London, SE15 4ST","PREMIER CINEMA, 95A RYE LANE, LONDON, SE15 4ST",51.47104814,-0.068838777,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
