fhrs_address,DPA_MATCH_DESCRIPTION,DPA_UPRN,plot_address,plot_lng,plot_lat
"Chick chicken, 117 Peckham High Street, London, SE15 5SE",GOOD,2.00E+11,"CHICK KING, 117, PECKHAM HIGH STREET, LONDON, SE15 5SE",-0.068349616,51.47410657
"China ho lok, 30 Ivanhoe Road, London, SE5 8DJ",PARTIAL,2.00E+11,"SEASON CHINESE, 30, IVANHOE ROAD, LONDON, SE5 8DJ",-0.079729959,51.46542677
"Christine's meat shop, 211 Rye Lane, London, SE15 4TP",GOOD,2.00E+11,"CHRISTINES BUTCHERY, 211, RYE LANE, LONDON, SE15 4TP",-0.066463969,51.46761877
"Cod fella, 125 Bellenden Road, London, SE15 4QY",GOOD,2.00E+11,"COD FELLAS, 125, BELLENDEN ROAD, LONDON, SE15 4QY",-0.072274364,51.46776841
"Convenience store, 64 Nunhead Lane, London, SE15 3QE",GOOD,2.00E+11,"NUNHEAD MINI MARKET, 64, NUNHEAD LANE, LONDON, SE15 3QE",-0.058878401,51.46451685
"Copeland park cafe, The Clf Art Cafe, 133 Copeland Road, London, SE15 3SN",,,,,
"Copleston centre, Copleston Centre, Copleston Road, London, SE15 4AN",EXACT,2.00E+11,"COPLESTON CENTRE, COPLESTON ROAD, LONDON, SE15 4AN",-0.076992274,51.46582254
"Criterion  restaurant, 129 Peckham High Street, London, SE15 5SL",GOOD,2.00E+11,"THE CRITERION, 129, PECKHAM HIGH STREET, LONDON, SE15 5SL",-0.067295362,51.47417913
"Crossroads cafe, 190 Bellenden Road, London, SE15 4BW",EXACT,2.00E+11,"CROSSROADS CAFE, 190, BELLENDEN ROAD, LONDON, SE15 4BW",-0.07304487,51.46690878
"Crossways cafe, 93 Evelina Road, London, SE15 3HL",EXACT,2.00E+11,"CROSSWAYS CAFE, 93, EVELINA ROAD, LONDON, SE15 3HL",-0.055342177,51.46676037
"Cuisine africana, The Aylesham Centre, Rye Lane, London, SE15 5EW",PARTIAL,10009804746,"FLAT C, 1-2 CENTRAL BUILDINGS, RYE LANE, LONDON, SE15 5DW",-0.070088198,51.47317299
